Happy Birthday Songs Offline,Its easy know hassels,Positive,0.433333333,0.833333333
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,Wow love,Positive,0.3,0.8
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,It easy install.,Positive,0.433333333,0.833333333
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,Waste,Negative,-0.2,0
Happy Birthday Songs Offline,Nice,Positive,0.6,1
Happy Birthday Songs Offline,nan,nan,nan,nan
Happy Birthday Songs Offline,Nice,Positive,0.6,1
Happy Fruits Bomb - Cube Blast,"I liked game lot I reached level 41 melon fields stage. It gives 60 turns beat it, soon I reach 52 moves quits me. Everytime, frustrating!",Negative,-0.1,0.7
Happy Fruits Bomb - Cube Blast,Very cute elephant gets boring quick repetitive levels. Especially since 3 ways poked make count. Good game.,Positive,0.004761905,0.678571429
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,Cheats!!! Your buttons stick point timed out. Had others try & talked thing happened them. DELETE,Neutral,0,0
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,used 2.5 gb background data four days causing costly overage,Neutral,0,0
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,"It's OK games ON, others impossible win the timer clocks.",Positive,0.211111111,0.633333333
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,"I tried before,. You still suck eggs !!!! I hate game ?",Negative,-0.6,0.65
Happy Fruits Bomb - Cube Blast,Deleting I can't complete level progress. Very sad!!,Negative,-0.45,0.7
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,Fun Best match three game ever. Love graphics sound elephants split blocks. All I say awesome. Job well done.,Positive,0.466666667,0.483333333
Happy Fruits Bomb - Cube Blast,Just ok fun game,Positive,0.133333333,0.366666667
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,Why game need access photos videos ?,Negative,-0.4,0.4
Happy Fruits Bomb - Cube Blast,This games fun I wish u could play players.,Positive,0.3,0.2
Happy Fruits Bomb - Cube Blast,Just another match 3 game,Negative,-0.4,0.4
Happy Fruits Bomb - Cube Blast,"Very addictive, fun.",Positive,0.15,0.6
Happy Fruits Bomb - Cube Blast,Most time respond,Positive,0.5,0.5
Happy Fruits Bomb - Cube Blast,When new updates come,Positive,0.136363636,0.454545455
Happy Fruits Bomb - Cube Blast,Can't connect with Facebook,Neutral,0,0
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,This game addictive. I love want,Positive,0.033333333,0.633333333
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,Shah Green Park,Negative,-0.2,0.3
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
Happy Fruits Bomb - Cube Blast,nan,nan,nan,nan
